lincs ID,cluster
BRD-K33272502,4
BRD-K05653692,4
BRD-A35108200,6
BRD-K32405725,16
BRD-K59019422,8
BRD-K93725829,7
BRD-K76964878,7
BRD-A68631409,16
BRD-K09778810,10
BRD-K08845546,10
BRD-K78959463,11
BRD-K75532464,1
BRD-K77947974,13
BRD-K28307902,1
BRD-A63646118,5
BRD-K64451768,17
BRD-K31342827,10
BRD-K47335880,3
BRD-K70642949,6
BRD-K10705233,16
BRD-K69840642,1
BRD-K85606544,6
BRD-K17349619,14
BRD-K93023739,13
BRD-K51781482,11
BRD-K74305673,8
BRD-K33583600,4
BRD-A02481876,9
BRD-A52650764,10
BRD-K18849474,16
BRD-K45446451,8
BRD-K67566344,16
BRD-A58955223,16
BRD-K19796430,5
BRD-A30655177,10
BRD-K37865504,4
BRD-K55395145,14
BRD-A06352508,16
BRD-K78513633,10
BRD-K61250553,6
BRD-K76205745,7
BRD-A04352665,16
BRD-K56851771,13
BRD-A14395271,4
BRD-K16406336,4
BRD-K39503511,10
BRD-K68065987,14
BRD-K78659596,16
BRD-K67844266,16
BRD-K19894101,8
BRD-A36275421,8
BRD-K76188144,4
BRD-K71726959,4
BRD-K36324071,14
BRD-K49183052,16
BRD-A70155556,1
BRD-A80213327,1
BRD-K48692744,10
BRD-K06792661,13
BRD-A36318220,16
BRD-A12230535,12
BRD-K08589866,14
BRD-K92991072,11
BRD-K00766422,1
BRD-K62810658,5
BRD-K56700933,4
BRD-A19633847,1
BRD-K83213911,1
BRD-K68997413,14
BRD-K67868012,4
BRD-K99818283,13
BRD-K11853856,5
BRD-A41451487,16
BRD-K89687904,17
BRD-K82036761,10
BRD-K30707190,14
BRD-K03618428,16
BRD-K30677119,1
BRD-K49456190,5
BRD-K09907482,4
BRD-K04010869,6
BRD-A73680854,14
BRD-K16554956,5
BRD-A56592690,8
BRD-K02407574,1
BRD-K81651477,14
BRD-K98548675,8
BRD-K59597909,1
BRD-K53595844,8
BRD-K66874953,2
BRD-K01292756,14
BRD-A46335897,10
BRD-K73397362,8
BRD-K02526760,14
BRD-A45889380,16
BRD-K20285085,4
BRD-K80738081,5
BRD-K89391146,14
BRD-K08478539,1
BRD-A23770159,16
BRD-K64634304,15
BRD-K21672174,14
BRD-A97437073,11
BRD-K03816923,14
BRD-K59184148,14
BRD-K08417745,3
BRD-K53855319,15
BRD-K55966568,16
BRD-A67788537,12
BRD-K20492338,16
BRD-K38985961,8
BRD-A35588707,1
BRD-K12502280,14
BRD-K67075780,11
BRD-K01877528,7
BRD-K32164935,4
BRD-K51575138,4
BRD-K28360340,1
BRD-K32107296,9
BRD-K63195589,5
BRD-K62965247,8
BRD-K00088062,4
BRD-K80527266,8
BRD-K68336408,14
BRD-K57011718,4
BRD-K74236984,11
BRD-K68185022,9
BRD-K32330832,17
BRD-A09533288,4
BRD-K87947369,3
BRD-K33308633,16
BRD-A58280226,10
BRD-A62182663,4
BRD-K76703230,13
BRD-K73789395,1
BRD-K69181860,17
BRD-A47829399,16
BRD-U88459701,1
BRD-A79465854,1
BRD-A75817871,10
BRD-K71799949,8
BRD-A85860691,10
BRD-K67778494,1
BRD-K50776152,10
BRD-K40758391,5
BRD-A28105619,13
BRD-K74148702,4
BRD-A38030642,14
BRD-K35723520,10
BRD-A69951442,4
BRD-K82135108,6
BRD-K61314889,16
BRD-A25004090,9
BRD-A70449690,12
BRD-K15108141,13
BRD-A77216878,8
BRD-K78599730,5
BRD-K14888893,1
BRD-K78867378,14
BRD-A76279427,6
BRD-A43331270,16
BRD-A01145011,8
BRD-K01638814,16
BRD-K61323504,1
BRD-A62025033,1
BRD-A75517195,10
BRD-A84481105,14
BRD-K89732114,14
BRD-A13084692,13
BRD-K41260949,11
BRD-K81418486,1
BRD-K76079827,15
BRD-K33720394,13
BRD-K86992982,14
BRD-K98079119,14
BRD-K67619794,14
BRD-K00366212,16
BRD-K05002121,16
BRD-K70918941,14
BRD-K19059335,12
BRD-K02216544,14
BRD-K77547509,12
BRD-K06436323,11
BRD-K54687541,2
BRD-K08640787,11
BRD-K14711204,8
BRD-A83255679,14
BRD-K09299610,14
BRD-K28180706,4
BRD-K19410523,11
BRD-K45278408,16
BRD-A12633378,3
BRD-K71382703,4
BRD-K50128260,15
BRD-K64738596,14
BRD-K42629487,4
BRD-K90912239,2
BRD-K36111767,2
BRD-K24564544,4
BRD-K83778500,11
BRD-K14324645,16
BRD-K05563014,11
BRD-K91442916,16
BRD-A32595718,14
BRD-K81592585,10
BRD-K95212245,4
BRD-K06180729,11
BRD-K01712134,14
BRD-K25190777,3
BRD-K46872340,10
BRD-K19609011,1
BRD-K77856555,11
BRD-K36533576,16
BRD-K92269225,9
BRD-K36153907,14
BRD-K66029294,4
BRD-K14945759,10
BRD-K87446239,14
BRD-K09138889,16
BRD-K64822626,5
BRD-K05566481,3
BRD-K95807833,14
BRD-K43637719,16
BRD-K87547250,4
BRD-U77632492,5
BRD-K30606628,12
BRD-K92343999,11
BRD-K11015688,11
BRD-K07995125,16
BRD-K64409586,2
BRD-K50135923,3
BRD-K73044744,8
BRD-K37057377,14
BRD-K88668773,5
BRD-K54070802,17
BRD-K35035132,10
BRD-K58846134,14
BRD-K64780785,4
BRD-K67550673,4
BRD-A08662020,14
BRD-A43805296,17
BRD-K83620635,9
BRD-A95937159,10
BRD-K86631041,5
BRD-K55186349,11
BRD-K02313433,7
BRD-K32636001,13
BRD-K35046132,16
BRD-K84301121,14
BRD-K45216862,11
BRD-K89748981,4
BRD-K95286134,14
BRD-K43149678,14
BRD-K05861053,8
BRD-K08447949,4
BRD-K98575502,11
BRD-K69422440,11
BRD-K90667125,16
BRD-K53780220,9
BRD-K70693222,10
BRD-K44978960,14
BRD-K01333970,16
BRD-K84864079,14
BRD-A17757596,16
BRD-K23412959,5
BRD-K88622704,8
BRD-K10361096,10
BRD-K52163391,16
BRD-A05831822,14
BRD-A81045722,10
BRD-A81416315,11
BRD-K92202821,4
BRD-K95037415,3
BRD-K57238941,14
BRD-K49712247,14
BRD-A01999384,15
BRD-K39318886,14
BRD-A93975555,12
BRD-A38936397,16
BRD-K66884694,14
BRD-K95117060,1
BRD-K35737468,5
BRD-K33159591,10
BRD-K41059137,14
BRD-K90736214,14
BRD-K50985433,16
BRD-K50746423,12
BRD-K85670329,11
BRD-K80822897,15
BRD-K89563433,14
BRD-K57044355,11
BRD-A62496920,11
BRD-A04392722,11
BRD-A08610364,16
BRD-K71970656,14
BRD-A11512624,13
BRD-K95337198,14
BRD-K12579869,13
BRD-K71169984,11
BRD-K46555875,17
BRD-K94304934,11
BRD-K45505681,5
BRD-K19735876,14
BRD-K75999307,9
BRD-K61718261,10
BRD-K07259155,14
BRD-K55487965,14
BRD-K44366801,5
BRD-K88707333,8
BRD-K42455570,1
BRD-K87726525,16
BRD-K62466453,9
BRD-K66037923,14
BRD-K05359840,15
BRD-K24156250,12
BRD-K04279026,15
BRD-K55703048,8
BRD-K44417704,7
BRD-K96740880,4
BRD-K95858622,4
BRD-K47324077,14
BRD-K28362289,8
BRD-K33297438,16
BRD-K06206016,11
BRD-K50218580,14
BRD-K69834151,4
BRD-K28472299,14
BRD-K74348865,16
BRD-K39507792,5
BRD-K95168667,10
BRD-K40175949,11
BRD-A81389811,16
BRD-K90692502,1
BRD-K77032321,13
BRD-K20923001,10
BRD-K26906367,6
BRD-A83993876,3
BRD-K11928012,5
BRD-A03436432,14
BRD-K12814321,13
BRD-K30443205,14
BRD-K92020737,4
BRD-K68833544,1
BRD-K58247702,8
BRD-K14355517,16
BRD-K41006959,7
BRD-K40329609,5
BRD-K32944375,12
BRD-K18711687,4
BRD-K49791723,17
BRD-K29506255,5
BRD-K30351863,10
BRD-K30836161,1
BRD-K37498076,10
BRD-K68783079,16
BRD-A96746500,13
BRD-K58999277,8
BRD-K59222562,4
BRD-K88761633,14
BRD-K93623501,11
BRD-A11968133,16
BRD-A18279961,16
BRD-K23896287,16
BRD-K47695085,5
BRD-K41185612,7
BRD-K04930762,10
BRD-K14914284,11
BRD-K69396629,8
BRD-K90446130,13
BRD-K75784474,17
BRD-A66604020,14
BRD-A32917072,9
BRD-K87403606,1
BRD-K38061943,11
BRD-K26233379,8
BRD-K54470384,7
BRD-K52695588,16
BRD-K02381115,14
BRD-K00637033,8
BRD-K75940587,17
BRD-K78984681,14
BRD-A00626522,2
BRD-A96749488,5
BRD-K48844671,14
BRD-K98439022,14
BRD-K36665199,14
BRD-A21406558,17
BRD-A38425832,11
BRD-A34421300,3
BRD-A61599461,5
BRD-K67678077,13
BRD-A81377415,8
BRD-K81214387,14
BRD-K02437976,14
BRD-A38793261,8
BRD-A66846505,14
BRD-A63949900,3
BRD-A75558199,14
BRD-A84445767,10
BRD-K56489029,14
BRD-K07515761,14
BRD-K73082558,11
BRD-K66686673,7
BRD-K15293421,11
BRD-K18495986,11
BRD-A31946439,1
BRD-K23165181,4
BRD-K31286015,4
BRD-K13318664,14
BRD-K30434763,17
BRD-K46017542,14
BRD-K82185908,15
BRD-K26815099,10
BRD-K86273012,15
BRD-K36452089,7
BRD-K08829932,7
BRD-K05979026,14
BRD-K21401822,16
BRD-K28040935,13
BRD-K12690157,1
BRD-K19134488,9
BRD-K63308290,12
BRD-K00910650,14
BRD-K03601405,14
BRD-K99530743,14
BRD-K07521754,5
BRD-K16358524,17
BRD-A30612536,4
BRD-K35413818,11
BRD-K85937960,14
BRD-K31828306,13
BRD-K91600270,11
BRD-K79414420,11
BRD-K03816923,8
BRD-K93060291,7
BRD-K15166186,7
BRD-K84881516,14
BRD-K37456065,4
BRD-K66032149,16
BRD-K44640865,14
BRD-K55938002,11
BRD-K42140106,15
BRD-K74710236,4
BRD-K88906571,5
BRD-K43992206,8
BRD-K61127831,11
BRD-K95048846,1
BRD-A52172093,11
BRD-K18453942,1
BRD-K59795987,8
BRD-K97476371,13
BRD-K32043164,10
BRD-A26711594,4
BRD-A68397902,6
BRD-A42031983,15
BRD-A89104433,14
BRD-K97516968,16
BRD-K89093471,11
BRD-K69097969,3
BRD-K44432556,16
BRD-K76907295,5
BRD-K59633790,6
BRD-K88317944,16
BRD-K40711313,5
BRD-K14096083,8
BRD-K92817986,5
BRD-K32010074,8
BRD-A05565054,12
BRD-K46681113,6
BRD-K03857568,3
BRD-K12393722,2
BRD-K67484673,1
BRD-K03339442,17
BRD-K71489689,17
BRD-K40955748,2
BRD-K33182644,6
BRD-A45206415,5
BRD-K65148867,1
BRD-K96147838,15
BRD-K08219523,17
BRD-K50505048,16
BRD-A81372523,7
BRD-A29721261,2
BRD-K27539181,16
BRD-K66908362,16
BRD-K82747512,16
BRD-K37141476,13
BRD-K20401833,8
BRD-K00624509,5
BRD-K53732802,9
BRD-K39823328,11
BRD-A57457122,16
BRD-K84141129,1
BRD-K30570479,5
BRD-A34208323,10
BRD-K76540910,11
BRD-K83010055,5
BRD-A59900482,13
BRD-A20846977,1
BRD-A26777759,9
BRD-A76463343,10
BRD-K75304533,3
BRD-K32318651,2
BRD-K39580048,14
BRD-K91349888,17
BRD-K74501079,2
BRD-A69512159,13
BRD-A67981824,13
BRD-A42571354,2
BRD-A47598013,1
BRD-K27721098,12
BRD-A68009927,13
BRD-K05673000,9
BRD-A74500471,1
BRD-A16998493,13
